
Step :25, avg score : -1.0, avg_cover_radius :  95.19, avg_sent_package:  49.84
Step :50, avg score : -1.1, avg_cover_radius :  94.81, avg_sent_package:  49.91
Step :75, avg score : -1.0, avg_cover_radius :  94.83, avg_sent_package:  49.67
Step :100, avg score : -1.1, avg_cover_radius :  94.05, avg_sent_package:  49.82
Step :125, avg score : -1.0, avg_cover_radius :  94.60, avg_sent_package:  50.17
Step :150, avg score : -1.3, avg_cover_radius :  91.74, avg_sent_package:  50.66
Step :175, avg score : -1.1, avg_cover_radius :  91.13, avg_sent_package:  49.77
Step :200, avg score : -1.2, avg_cover_radius :  92.39, avg_sent_package:  49.23
Step :225, avg score : -0.9, avg_cover_radius :  95.41, avg_sent_package:  50.39
Step :250, avg score : -1.1, avg_cover_radius :  93.15, avg_sent_package:  50.85
Step :275, avg score : -1.2, avg_cover_radius :  93.26, avg_sent_package:  50.79
Step :300, avg score : -1.1, avg_cover_radius :  94.54, avg_sent_package:  50.37
Step :325, avg score : -0.8, avg_cover_radius :  95.25, avg_sent_package:  48.76
Step :350, avg score : -1.0, avg_cover_radius :  94.79, avg_sent_package:  50.00
Step :375, avg score : -1.1, avg_cover_radius :  94.41, avg_sent_package:  50.64
Step :400, avg score : -1.2, avg_cover_radius :  92.28, avg_sent_package:  50.33
Step :425, avg score : -1.0, avg_cover_radius :  94.87, avg_sent_package:  50.20
Step :450, avg score : -1.0, avg_cover_radius :  92.59, avg_sent_package:  49.39
Step :475, avg score : -1.3, avg_cover_radius :  92.01, avg_sent_package:  49.92
Step :500, avg score : -1.4, avg_cover_radius :  89.55, avg_sent_package:  50.97
Step :525, avg score : -1.3, avg_cover_radius :  93.33, avg_sent_package:  49.63
Step :550, avg score : -1.1, avg_cover_radius :  92.55, avg_sent_package:  50.28
Step :575, avg score : -1.3, avg_cover_radius :  92.68, avg_sent_package:  50.97
Step :600, avg score : -1.2, avg_cover_radius :  93.54, avg_sent_package:  50.84
Step :625, avg score : -1.0, avg_cover_radius :  93.68, avg_sent_package:  49.91
Step :650, avg score : -1.3, avg_cover_radius :  91.24, avg_sent_package:  49.63
Step :675, avg score : -1.4, avg_cover_radius :  92.21, avg_sent_package:  51.29
Step :700, avg score : -1.0, avg_cover_radius :  94.76, avg_sent_package:  49.39
Step :725, avg score : -1.0, avg_cover_radius :  95.09, avg_sent_package:  48.96
Step :750, avg score : -1.8, avg_cover_radius :  88.50, avg_sent_package:  50.63
Step :775, avg score : -1.1, avg_cover_radius :  94.33, avg_sent_package:  49.92
Step :800, avg score : -1.1, avg_cover_radius :  95.01, avg_sent_package:  50.25
Step :825, avg score : -1.1, avg_cover_radius :  93.00, avg_sent_package:  51.24
Step :850, avg score : -1.0, avg_cover_radius :  94.39, avg_sent_package:  49.41
Step :875, avg score : -1.3, avg_cover_radius :  92.86, avg_sent_package:  49.84
Step :900, avg score : -1.2, avg_cover_radius :  93.05, avg_sent_package:  49.98
Step :925, avg score : -1.5, avg_cover_radius :  90.06, avg_sent_package:  50.39
Step :950, avg score : -1.2, avg_cover_radius :  91.42, avg_sent_package:  49.76
Step :975, avg score : -1.0, avg_cover_radius :  94.79, avg_sent_package:  49.88
Step :1000, avg score : -1.1, avg_cover_radius :  93.89, avg_sent_package:  50.09
Step :1025, avg score : -1.1, avg_cover_radius :  90.83, avg_sent_package:  49.05
Step :1050, avg score : -1.2, avg_cover_radius :  89.61, avg_sent_package:  49.60
Step :1075, avg score : -1.2, avg_cover_radius :  94.01, avg_sent_package:  49.44
Step :1100, avg score : -1.1, avg_cover_radius :  92.84, avg_sent_package:  49.32
Step :1125, avg score : -1.1, avg_cover_radius :  92.86, avg_sent_package:  50.45
Step :1150, avg score : -1.1, avg_cover_radius :  91.94, avg_sent_package:  50.21
Step :1175, avg score : -1.0, avg_cover_radius :  95.96, avg_sent_package:  50.27
Step :1200, avg score : -1.4, avg_cover_radius :  90.65, avg_sent_package:  48.95
Step :1225, avg score : -1.1, avg_cover_radius :  93.76, avg_sent_package:  49.25
Step :1250, avg score : -1.0, avg_cover_radius :  95.44, avg_sent_package:  50.66
Step :1275, avg score : -1.2, avg_cover_radius :  93.86, avg_sent_package:  49.69
Step :1300, avg score : -1.1, avg_cover_radius :  94.02, avg_sent_package:  49.72
Step :1325, avg score : -0.9, avg_cover_radius :  94.16, avg_sent_package:  49.14
Step :1350, avg score : -1.1, avg_cover_radius :  94.71, avg_sent_package:  49.76
Step :1375, avg score : -1.1, avg_cover_radius :  93.71, avg_sent_package:  50.06
Step :1400, avg score : -1.0, avg_cover_radius :  95.15, avg_sent_package:  50.23
Step :1425, avg score : -1.0, avg_cover_radius :  93.92, avg_sent_package:  49.68
Step :1450, avg score : -1.6, avg_cover_radius :  88.81, avg_sent_package:  50.37
Step :1475, avg score : -1.3, avg_cover_radius :  92.69, avg_sent_package:  50.68
Step :1500, avg score : -1.0, avg_cover_radius :  95.51, avg_sent_package:  51.39
Step :1525, avg score : -1.2, avg_cover_radius :  93.50, avg_sent_package:  49.59
Step :1550, avg score : -1.2, avg_cover_radius :  93.55, avg_sent_package:  51.16
Step :1575, avg score : -1.3, avg_cover_radius :  92.79, avg_sent_package:  50.50
Step :1600, avg score : -1.2, avg_cover_radius :  94.12, avg_sent_package:  50.85
Step :1625, avg score : -1.2, avg_cover_radius :  92.50, avg_sent_package:  49.55
Step :1650, avg score : -1.2, avg_cover_radius :  92.91, avg_sent_package:  49.98
Step :1675, avg score : -1.1, avg_cover_radius :  93.68, avg_sent_package:  50.66
Step :1700, avg score : -1.2, avg_cover_radius :  93.71, avg_sent_package:  50.02
Step :1725, avg score : -0.9, avg_cover_radius :  94.58, avg_sent_package:  49.90
Step :1750, avg score : -0.9, avg_cover_radius :  96.55, avg_sent_package:  50.78
Step :1775, avg score : -1.0, avg_cover_radius :  94.47, avg_sent_package:  49.16
Step :1800, avg score : -1.1, avg_cover_radius :  93.81, avg_sent_package:  49.84
Step :1825, avg score : -0.8, avg_cover_radius :  96.59, avg_sent_package:  50.25
Step :1850, avg score : -0.8, avg_cover_radius :  95.00, avg_sent_package:  49.75
Step :1875, avg score : -0.8, avg_cover_radius :  95.54, avg_sent_package:  50.24
Step :1900, avg score : -1.0, avg_cover_radius :  93.70, avg_sent_package:  49.74
Step :1925, avg score : -1.0, avg_cover_radius :  94.99, avg_sent_package:  49.66
Step :1950, avg score : -1.2, avg_cover_radius :  95.28, avg_sent_package:  50.56
Step :1975, avg score : -1.5, avg_cover_radius :  91.71, avg_sent_package:  49.31
Step :2000, avg score : -1.0, avg_cover_radius :  95.21, avg_sent_package:  50.14
Step :2025, avg score : -0.9, avg_cover_radius :  95.59, avg_sent_package:  49.72
Step :2050, avg score : -0.9, avg_cover_radius :  94.80, avg_sent_package:  49.79
Step :2075, avg score : -0.9, avg_cover_radius :  96.23, avg_sent_package:  49.88
Step :2100, avg score : -1.1, avg_cover_radius :  94.72, avg_sent_package:  49.46
Step :2125, avg score : -1.1, avg_cover_radius :  95.41, avg_sent_package:  50.25
Step :2150, avg score : -1.0, avg_cover_radius :  93.83, avg_sent_package:  49.08
Step :2175, avg score : -1.1, avg_cover_radius :  94.08, avg_sent_package:  49.90
Step :2200, avg score : -1.1, avg_cover_radius :  94.75, avg_sent_package:  49.09
Step :2225, avg score : -1.1, avg_cover_radius :  92.00, avg_sent_package:  48.49
Step :2250, avg score : -1.1, avg_cover_radius :  95.04, avg_sent_package:  49.28
Step :2275, avg score : -1.5, avg_cover_radius :  88.47, avg_sent_package:  50.16
Step :2300, avg score : -1.4, avg_cover_radius :  92.19, avg_sent_package:  51.14
Step :2325, avg score : -0.9, avg_cover_radius :  96.07, avg_sent_package:  50.27
Step :2350, avg score : -1.1, avg_cover_radius :  92.86, avg_sent_package:  49.81
Step :2375, avg score : -0.8, avg_cover_radius :  95.03, avg_sent_package:  50.46
Step :2400, avg score : -1.2, avg_cover_radius :  92.63, avg_sent_package:  49.88
Step :2425, avg score : -1.3, avg_cover_radius :  92.17, avg_sent_package:  49.46
Step :2450, avg score : -1.2, avg_cover_radius :  94.18, avg_sent_package:  50.43
Step :2475, avg score : -1.2, avg_cover_radius :  93.59, avg_sent_package:  51.33
Step :2500, avg score : -0.9, avg_cover_radius :  95.56, avg_sent_package:  49.90
Step :2525, avg score : -1.4, avg_cover_radius :  90.15, avg_sent_package:  50.49
Step :2550, avg score : -1.0, avg_cover_radius :  94.97, avg_sent_package:  50.94
Step :2575, avg score : -1.2, avg_cover_radius :  92.02, avg_sent_package:  50.58
Step :2600, avg score : -0.9, avg_cover_radius :  96.43, avg_sent_package:  49.90
Step :2625, avg score : -1.3, avg_cover_radius :  93.19, avg_sent_package:  50.08
Step :2650, avg score : -1.5, avg_cover_radius :  90.06, avg_sent_package:  50.14
Step :2675, avg score : -1.4, avg_cover_radius :  91.68, avg_sent_package:  50.04
Step :2700, avg score : -0.9, avg_cover_radius :  95.21, avg_sent_package:  50.65
Step :2725, avg score : -0.9, avg_cover_radius :  95.59, avg_sent_package:  49.15
Step :2750, avg score : -1.0, avg_cover_radius :  95.90, avg_sent_package:  49.56
Step :2775, avg score : -1.3, avg_cover_radius :  92.13, avg_sent_package:  50.54
Step :2800, avg score : -1.0, avg_cover_radius :  95.68, avg_sent_package:  50.89
Step :2825, avg score : -1.3, avg_cover_radius :  92.71, avg_sent_package:  51.30
Step :2850, avg score : -1.2, avg_cover_radius :  91.55, avg_sent_package:  49.85
Step :2875, avg score : -1.2, avg_cover_radius :  93.71, avg_sent_package:  49.89
Step :2900, avg score : -1.2, avg_cover_radius :  91.88, avg_sent_package:  49.64
Step :2925, avg score : -1.2, avg_cover_radius :  92.48, avg_sent_package:  50.25
Step :2950, avg score : -1.0, avg_cover_radius :  95.33, avg_sent_package:  50.43
