
Step :0, avg score : 0.00119047611951828, avg_cover_radius :  16.71, avg_sent_package:  48.72
Step :1, avg score : -0.02993733622133732, avg_cover_radius :  40.19, avg_sent_package:  66.67
Step :2, avg score : -0.012385712005198002, avg_cover_radius :  53.90, avg_sent_package:  51.92
Step :3, avg score : -0.009310763329267502, avg_cover_radius :  58.31, avg_sent_package:  31.71
Step :4, avg score : -0.021135572344064713, avg_cover_radius :  65.24, avg_sent_package:  61.29
Step :5, avg score : -0.014224134385585785, avg_cover_radius :  71.71, avg_sent_package:  50.00
Step :6, avg score : -0.010722029954195023, avg_cover_radius :  75.34, avg_sent_package:  46.34
Step :7, avg score : -0.012883181683719158, avg_cover_radius :  81.16, avg_sent_package:  58.14
Step :8, avg score : -0.007764355279505253, avg_cover_radius :  85.56, avg_sent_package:  51.72
Step :9, avg score : -0.008215101435780525, avg_cover_radius :  86.11, avg_sent_package:  50.00
Step :10, avg score : -0.008753274567425251, avg_cover_radius :  86.64, avg_sent_package:  48.89
Step :11, avg score : -0.009069613181054592, avg_cover_radius :  85.02, avg_sent_package:  42.11
Step :12, avg score : -0.010230963118374348, avg_cover_radius :  84.12, avg_sent_package:  40.00
Step :13, avg score : -0.012751128524541855, avg_cover_radius :  83.61, avg_sent_package:  55.00
Step :14, avg score : -0.012492150999605656, avg_cover_radius :  84.46, avg_sent_package:  53.85
Step :15, avg score : -0.008648439310491085, avg_cover_radius :  85.45, avg_sent_package:  44.90
Step :16, avg score : -0.015770556405186653, avg_cover_radius :  84.23, avg_sent_package:  60.00
Step :17, avg score : -0.010292683728039265, avg_cover_radius :  83.56, avg_sent_package:  54.17
Step :18, avg score : -0.009257122874259949, avg_cover_radius :  82.53, avg_sent_package:  54.00
Step :19, avg score : -0.00844716839492321, avg_cover_radius :  84.45, avg_sent_package:  54.55
Step :20, avg score : -0.012510383501648903, avg_cover_radius :  84.75, avg_sent_package:  57.14
Step :21, avg score : -0.00879092700779438, avg_cover_radius :  86.63, avg_sent_package:  45.24
Step :22, avg score : -0.009294838644564152, avg_cover_radius :  85.96, avg_sent_package:  43.59
Step :23, avg score : -0.009852188639342785, avg_cover_radius :  85.02, avg_sent_package:  43.59
Step :24, avg score : -0.011191352270543575, avg_cover_radius :  84.08, avg_sent_package:  35.48
