Step :0, avg score : -105.98318481445312, avg_cover_radius :  25.83, avg_sent_package:  45.00
Step :1, avg score : -160.4571990966797, avg_cover_radius :  43.30, avg_sent_package:  50.00
Step :2, avg score : -143.41375732421875, avg_cover_radius :  57.61, avg_sent_package:  50.00
Step :3, avg score : -147.17384338378906, avg_cover_radius :  66.97, avg_sent_package:  64.00
Step :4, avg score : -87.4959487915039, avg_cover_radius :  74.36, avg_sent_package:  44.90
Step :5, avg score : -135.61282348632812, avg_cover_radius :  80.72, avg_sent_package:  57.89
Step :6, avg score : -104.73226165771484, avg_cover_radius :  84.50, avg_sent_package:  50.00
Step :7, avg score : -97.37548065185547, avg_cover_radius :  87.40, avg_sent_package:  48.84
Step :8, avg score : -124.3795166015625, avg_cover_radius :  90.10, avg_sent_package:  56.41
Step :9, avg score : -123.70491027832031, avg_cover_radius :  89.56, avg_sent_package:  60.47
Step :10, avg score : -101.42372131347656, avg_cover_radius :  87.69, avg_sent_package:  51.16
Step :11, avg score : -86.09793090820312, avg_cover_radius :  88.30, avg_sent_package:  51.85
Step :12, avg score : -111.97056579589844, avg_cover_radius :  88.52, avg_sent_package:  59.57
Step :13, avg score : -178.91357421875, avg_cover_radius :  86.03, avg_sent_package:  69.44
Step :14, avg score : -113.17025756835938, avg_cover_radius :  87.00, avg_sent_package:  63.27
Step :15, avg score : -84.23272705078125, avg_cover_radius :  87.38, avg_sent_package:  52.08
Step :16, avg score : -83.50479888916016, avg_cover_radius :  88.79, avg_sent_package:  47.73
Step :17, avg score : -92.04899597167969, avg_cover_radius :  87.28, avg_sent_package:  45.00
Step :18, avg score : -88.82613372802734, avg_cover_radius :  86.64, avg_sent_package:  50.00
Step :19, avg score : -166.70156860351562, avg_cover_radius :  87.91, avg_sent_package:  69.05
Step :20, avg score : -89.33245849609375, avg_cover_radius :  86.72, avg_sent_package:  41.46
Step :21, avg score : -102.90187072753906, avg_cover_radius :  85.37, avg_sent_package:  40.54
Step :22, avg score : -88.18012237548828, avg_cover_radius :  82.28, avg_sent_package:  40.43
Step :23, avg score : -98.14574432373047, avg_cover_radius :  78.89, avg_sent_package:  45.83
Step :24, avg score : -126.26188659667969, avg_cover_radius :  77.25, avg_sent_package:  51.22
Step :25, avg score : -124.85578155517578, avg_cover_radius :  77.83, avg_sent_package:  51.22
Step :26, avg score : -161.0362091064453, avg_cover_radius :  80.71, avg_sent_package:  65.91
Step :27, avg score : -100.36260223388672, avg_cover_radius :  82.83, avg_sent_package:  42.50
Step :28, avg score : -123.65225219726562, avg_cover_radius :  83.38, avg_sent_package:  50.00
Step :29, avg score : -99.51210021972656, avg_cover_radius :  83.49, avg_sent_package:  41.03
Step :30, avg score : -100.62642669677734, avg_cover_radius :  84.35, avg_sent_package:  51.06
Step :31, avg score : -81.01592254638672, avg_cover_radius :  85.93, avg_sent_package:  47.17
Step :32, avg score : -89.81810760498047, avg_cover_radius :  86.70, avg_sent_package:  50.00
Step :33, avg score : -102.52009582519531, avg_cover_radius :  87.99, avg_sent_package:  52.27
